,possession,team_name,obv_total_net_sum,obv_total_net_mean,possession minute,possession second,possession end minute,possession end second
227,152,Manchester City WFC,0.001132888399999997,0.00010298985454545427,75,59,76,8
228,153,Arsenal WFC,-0.010429793900000001,-0.00208595878,76,10,76,32
229,154,Arsenal WFC,0.002597217,0.002597217,76,33,76,33
230,154,Manchester City WFC,0.009644208,0.009644208,76,33,76,33
231,155,Arsenal WFC,-0.014821305,-0.014821305,76,55,76,58
232,155,Manchester City WFC,0.026010337799999998,0.0065025844499999996,76,55,76,58
233,156,Arsenal WFC,0.002755043,0.002755043,77,47,77,48
234,156,Manchester City WFC,-0.002755043,-0.002755043,77,47,77,48
235,157,Arsenal WFC,0.012662470000000002,0.004220823333333334,78,11,78,46
236,157,Manchester City WFC,-0.0270897863,-0.0015935168411764706,78,11,78,46
237,158,Arsenal WFC,-0.0094401582,-0.0047200791,79,2,79,7
238,159,Manchester City WFC,-0.0048649941000000006,-0.0009729988200000001,79,7,79,13
239,160,Arsenal WFC,0.008250081700000002,0.0008250081700000002,79,13,79,28
240,161,Manchester City WFC,0.0100434949,0.0016739158166666666,79,28,79,41
241,162,Arsenal WFC,0.0112436863,0.00112436863,79,41,80,19
242,162,Manchester City WFC,0.004233269,0.004233269,79,41,80,19
243,163,Arsenal WFC,0.1314566809,0.006572834045000001,80,38,81,23
244,163,Manchester City WFC,0.015129808800000002,0.00302596176,80,38,81,23
245,164,Arsenal WFC,-0.002871539,-0.0014357695,81,35,81,36
246,164,Manchester City WFC,0.009695861,0.009695861,81,35,81,36
247,165,Arsenal WFC,0.010086336,0.010086336,81,37,82,7
248,165,Manchester City WFC,0.009442105400000001,0.0005901315875000001,81,37,82,7
249,166,Arsenal WFC,-0.012402489,-0.012402489,82,28,82,35
250,166,Manchester City WFC,0.022497359499999998,0.003749559916666666,82,28,82,35
251,167,Arsenal WFC,0.004924628,0.004924628,83,25,83,31
252,167,Manchester City WFC,-0.020991079000000003,-0.006997026333333334,83,25,83,31
253,168,Arsenal WFC,0.014144485799999999,0.0008840303624999999,83,38,84,8
254,168,Manchester City WFC,-0.0092513221,-0.0018502644200000002,83,38,84,8
255,169,Arsenal WFC,-0.002326245699999999,-0.0001292358722222222,84,13,85,2
256,169,Manchester City WFC,0.0312529755,0.007813243875,84,13,85,2
257,170,Arsenal WFC,0.0040201790000000005,0.0020100895000000002,85,2,85,3
258,170,Manchester City WFC,0.010725783,0.010725783,85,2,85,3
259,171,Arsenal WFC,0.0004970957999999998,2.761643333333332e-05,85,13,86,7
260,171,Manchester City WFC,0.0114125641,0.0012680626777777778,85,13,86,7
261,172,Manchester City WFC,0.0046521621,0.0015507207,86,28,86,37
262,173,Arsenal WFC,-0.0027910014,-0.00055820028,86,37,86,49
263,173,Manchester City WFC,0.0026334226,0.0026334226,86,37,86,49
264,174,Arsenal WFC,-0.003901583000000001,-0.0019507915000000005,87,4,87,7
265,175,Manchester City WFC,0.0084697612,0.0009410845777777778,87,7,87,22
266,176,Arsenal WFC,0.015503198,0.0011925536923076924,87,22,87,49
267,176,Manchester City WFC,0.0032238235000000004,0.0016119117500000002,87,22,87,49
268,177,Arsenal WFC,0.0064090053,0.0009155721857142858,87,55,88,8
269,177,Manchester City WFC,0.0071053933,0.0071053933,87,55,88,8
270,178,Arsenal WFC,0.019761990199999996,0.0008982722818181816,88,16,88,57
271,178,Manchester City WFC,0.0006705985000000012,0.0003352992500000006,88,16,88,57
272,179,Manchester City WFC,0.061085325600000004,0.0067872584,88,57,89,24
273,180,Arsenal WFC,0.2843973465,0.047399557749999995,89,24,90,29
274,180,Manchester City WFC,0.0006677928,0.0003338964,89,24,90,29
275,181,Arsenal WFC,0.0010667471,0.0010667471,90,54,91,4
276,181,Manchester City WFC,0.0344612679,0.01723063395,90,54,91,4
277,182,Manchester City WFC,-0.02676477,-0.013382385,91,33,91,37
278,183,Arsenal WFC,0.006813817400000001,0.002271272466666667,91,37,91,38
279,183,Manchester City WFC,0.0016357002,0.0016357002,91,37,91,38
280,184,Arsenal WFC,-0.0012330285000000003,-0.00020550475000000006,91,43,91,54
281,184,Manchester City WFC,-0.0003838474,-0.0003838474,91,43,91,54
282,185,Arsenal WFC,0.007759573,0.007759573,92,11,92,14
283,187,Arsenal WFC,0.0035568158000000008,0.0005928026333333335,93,0,93,17
284,187,Manchester City WFC,0.0009686871999999999,0.00024217179999999998,93,0,93,17
285,188,Arsenal WFC,0.0019716601999999997,0.00028166574285714283,93,21,93,35
286,189,Arsenal WFC,-0.008159248,-0.008159248,93,35,93,48
287,189,Manchester City WFC,0.015084648899999999,0.00251410815,93,35,93,48
288,190,Arsenal WFC,0.0051618186,0.0051618186,94,17,94,20
289,190,Manchester City WFC,0.00030538490000000043,0.0001017949666666668,94,17,94,20
290,191,Arsenal WFC,-0.00207674,-0.00207674,94,36,94,37
291,191,Manchester City WFC,0.00207674,0.00207674,94,36,94,37
292,192,Arsenal WFC,0.006853657799999999,0.0034268288999999997,94,48,94,54
293,192,Manchester City WFC,-0.0021487316,-0.0021487316,94,48,94,54
